Kecamatan,Cluster,Kategori,Penduduk_2023,Timbulan_2023,Penduduk_2024,Timbulan_2024
 KENOHAN,2,Rendah,11852.0,4859.32,12626.0,9069.0
 TABANG,2,Rendah,12307.0,5045.87,13902.0,9880.0
 TENGGARONG SEBERANG,3,Sangat Tinggi,70722.0,28996.02,74167.0,53282.0
ANGGANA,0,Tinggi,36619.0,15013.79,39738.0,28401.5
KEMBANG JANGGUT,1,Sedang,24572.0,10074.52,28125.0,19919.0
KOTA BANGUN,1,Sedang,23001.0,9430.41,24292.0,23134.0
KOTA BANGUN DARAT,2,Rendah,13612.0,5580.92,14749.0,10623.0
LOA JANAN,3,Sangat Tinggi,71937.0,29494.17,77785.0,55741.0
LOA KULU,0,Tinggi,54988.0,22545.08,57869.0,41561.0
MARANG KAYU,1,Sedang,27857.0,11421.37,30027.0,21468.5
MUARA BADAK,0,Tinggi,47951.0,19659.91,52222.0,37279.0
MUARA JAWA,0,Tinggi,42622.0,17475.02,45167.0,32346.0
MUARA KAMAN,0,Tinggi,43435.0,17808.35,47664.0,34162.0
MUARA MUNTAI,2,Rendah,20732.0,8500.12,21520.0,15495.0
MUARA WIS,2,Rendah,9366.0,3840.06,9979.0,7151.0
SAMBOJA,0,Tinggi,39776.0,16308.16,42593.0,30547.0
SAMBOJA BARAT,1,Sedang,29772.0,12206.52,32595.0,23438.0
SANGA SANGA,2,Rendah,20329.0,8334.89,21460.0,15445.0
SEBULU,0,Tinggi,41746.0,17115.86,43954.0,31565.0
TENGGARONG,3,Sangat Tinggi,110666.0,45373.06,116530.0,83557.5
